index,scene_id,method,selection_signature,pose_reused,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms,selector_target_ratio,selector_target_matches,selector_selected_matches,selector_mean_confidence,selector_coverage0,selector_coverage1,selector_selected_coverage0,selector_selected_coverage1,selector_rescued
6,scene0707_00,Random-95%-seed29,b3d7bd06ab1395a6,False,220,122,0.5545454545454546,0.022727272727272728,0.1409090909090909,1.5863116815045368,26.253635571699117,26.253635571699117,0.032800016924738884,10.871700011193752,,,,,,,,,
6,scene0707_00,Random-95%-seed41,ed0d27e2b28fedf9,False,220,116,0.5272727272727272,0.01818181818181818,0.15,1.5185496456925864,25.29657861473455,25.29657861473455,0.04199999966658652,11.286200024187565,,,,,,,,,
6,scene0707_00,Grid-RR,498f68b2e26db050,False,220,120,0.5454545454545454,0.022727272727272728,0.15454545454545454,1.5997046756868671,27.2361098746943,27.2361098746943,0.17670000670477748,9.632100001908839,,,,,,,,,
6,scene0707_00,4D-ANMS,6f61b08d9528b777,False,220,117,0.5318181818181819,0.022727272727272728,0.15454545454545454,1.6487692160244882,27.716105521712958,27.716105521712958,2.5408999936189502,10.611600009724498,,,,,,,,,
6,scene0707_00,Unconditional Spatial,ae57d675e5e715ab,True,220,120,0.5454545454545454,0.022727272727272728,0.1409090909090909,1.5435074101951958,26.68576860303905,26.68576860303905,0.19880000036209822,0.0,,,,,,,,,
6,scene0707_00,Single-View Conditional,ae57d675e5e715ab,True,220,120,0.5454545454545454,0.022727272727272728,0.1409090909090909,1.5435074101951958,26.68576860303905,26.68576860303905,0.22849999368190765,0.0,,,,,,,,,
6,scene0707_00,CSMR,ae57d675e5e715ab,True,220,120,0.5454545454545454,0.022727272727272728,0.1409090909090909,1.5435074101951958,26.68576860303905,26.68576860303905,0.10350000229664147,0.0,0.95,220,220,0.6979082425221287,0.6875,0.625,0.6875,0.625,0
7,scene0707_00,All,a50bb33f10916085,False,161,106,0.6583850931677019,0.09316770186335403,0.40993788819875776,2.4177511733930928,1.444076470674067,2.4177511733930928,0.0,4.725399980088696,,,,,,,,,
7,scene0707_00,Top-95%,410073ec1e064c2e,False,153,110,0.7189542483660131,0.08496732026143791,0.39869281045751637,2.3322555160003167,0.9101320142067627,2.3322555160003167,0.024500011932104826,3.21649998659268,,,,,,,,,
7,scene0707_00,Random-95%-seed17,fc70bd9948b97e38,False,153,103,0.673202614379085,0.09803921568627451,0.40522875816993464,5.68467336120709,1.8795104044577342,5.68467336120709,0.06660001236014068,4.7587000008206815,,,,,,,,,
7,scene0707_00,Random-95%-seed29,99927465eb767106,False,153,104,0.6797385620915033,0.09803921568627451,0.4117647058823529,2.4591567715810863,0.7297609667274709,2.4591567715810863,0.02759997732937336,4.065199987962842,,,,,,,,,
7,scene0707_00,Random-95%-seed41,0cde322b51c153ff,False,153,102,0.6666666666666666,0.0915032679738562,0.39869281045751637,2.4125661266776635,1.4477116590364896,2.4125661266776635,0.021000014385208488,3.7680999957956374,,,,,,,,,
7,scene0707_00,Grid-RR,575cdf302c96dcbb,False,153,99,0.6470588235294118,0.09803921568627451,0.42483660130718953,2.4954884393887893,0.7393091903331526,2.4954884393887893,0.14639997971244156,4.22110001090914,,,,,,,,,
7,scene0707_00,4D-ANMS,9dfc8a1370ae98bc,False,153,104,0.6797385620915033,0.09803921568627451,0.42483660130718953,5.792743853310963,2.0101959048290023,5.792743853310963,1.5193000144790858,3.9169999945443124,,,,,,,,,
7,scene0707_00,Unconditional Spatial,8fe37fa29fdb0326,False,153,102,0.6666666666666666,0.08496732026143791,0.39869281045751637,3.3114646953583855,0.8099439506098111,3.3114646953583855,0.15619999612681568,4.729100008262321,,,,,,,,,
7,scene0707_00,Single-View Conditional,8fe37fa29fdb0326,True,153,102,0.6666666666666666,0.08496732026143791,0.39869281045751637,3.3114646953583855,0.8099439506098111,3.3114646953583855,0.19679998513311148,0.0,,,,,,,,,
7,scene0707_00,CSMR,8fe37fa29fdb0326,True,153,102,0.6666666666666666,0.08496732026143791,0.39869281045751637,3.3114646953583855,0.8099439506098111,3.3114646953583855,0.17529999604448676,0.0,0.95,153,153,0.7769409852646152,0.8125,0.4375,0.8125,0.4375,1
8,scene0707_00,All,c31731fc4fc0d993,False,191,140,0.7329842931937173,0.193717277486911,0.6963350785340314,3.639255159323436,3.3325896820643655,3.639255159323436,0.0,3.7659000081475824,,,,,,,,,
8,scene0707_00,Top-95%,1ab2d991e73f8842,False,181,141,0.7790055248618785,0.20441988950276244,0.7182320441988951,4.961400588850939,5.276285638493893,5.276285638493893,0.026699999580159783,2.9793999856337905,,,,,,,,,
8,scene0707_00,Random-95%-seed17,0885a5f7d7b07c89,False,181,126,0.6961325966850829,0.20441988950276244,0.6961325966850829,6.442116933940119,5.876167148540858,6.442116933940119,0.07129998994059861,3.923699987353757,,,,,,,,,
8,scene0707_00,Random-95%-seed29,88d80501fdc27c40,False,181,140,0.7734806629834254,0.19889502762430938,0.6961325966850829,3.0402298047224177,3.00020843103698,3.0402298047224177,0.029999995604157448,4.776999994646758,,,,,,,,,
8,scene0707_00,Random-95%-seed41,bc35753104c732de,False,181,121,0.6685082872928176,0.17679558011049723,0.6961325966850829,6.643191171115503,6.184147633811736,6.643191171115503,0.02300000051036477,4.935100005241111,,,,,,,,,
8,scene0707_00,Grid-RR,f4e3e9a5127a8e47,False,181,142,0.7845303867403315,0.1878453038674033,0.7071823204419889,4.944715991905462,4.835003586238639,4.944715991905462,0.1674000232014805,2.9712000105064362,,,,,,,,,
8,scene0707_00,4D-ANMS,03b3d5f845d922d4,False,181,130,0.7182320441988951,0.19889502762430938,0.7016574585635359,5.920100565957562,5.511489235200217,5.920100565957562,1.8816999800037593,3.774100012378767,,,,,,,,,
8,scene0707_00,Unconditional Spatial,a4682da8dc94be5d,False,181,131,0.7237569060773481,0.20441988950276244,0.7182320441988951,5.8972528779918845,5.455733207377995,5.8972528779918845,0.18269999418407679,3.3190000103786588,,,,,,,,,
8,scene0707_00,Single-View Conditional,29fc9af5940cb1d6,False,181,130,0.7182320441988951,0.20441988950276244,0.7182320441988951,6.637509444792572,4.990181761993624,6.637509444792572,0.3902000025846064,3.050500003155321,,,,,,,,,
8,scene0707_00,CSMR,29fc9af5940cb1d6,True,181,130,0.7182320441988951,0.20441988950276244,0.7182320441988951,6.637509444792572,4.990181761993624,6.637509444792572,0.4659999976865947,0.0,0.95,181,181,0.8709875090506064,0.5625,0.375,0.4375,0.375,1
9,scene0707_00,All,250f86cad8e5413f,False,186,117,0.6290322580645161,0.45161290322580644,0.7526881720430108,1.857364003843662,1.1137706014567252,1.857364003843662,0.0,5.331800028216094,,,,,,,,,
9,scene0707_00,Top-95%,52357d2bfc3ab859,False,177,117,0.6610169491525424,0.4632768361581921,0.7740112994350282,1.6329062880451564,0.7123982139188808,1.6329062880451564,0.028499984182417393,5.4290000116452575,,,,,,,,,
9,scene0707_00,Random-95%-seed17,97fbc8a7abd96949,False,177,112,0.632768361581921,0.4519774011299435,0.7570621468926554,1.581275642756226,0.6710097814487367,1.581275642756226,0.06970000686123967,4.999199998565018,,,,,,,,,
9,scene0707_00,Random-95%-seed29,82f7d5a51c2b0373,False,177,112,0.632768361581921,0.4576271186440678,0.7570621468926554,1.6165438194147825,0.7311655621181163,1.6165438194147825,0.02889998722821474,4.955200012773275,,,,,,,,,
9,scene0707_00,Random-95%-seed41,fdb22041835a1567,False,177,111,0.6271186440677966,0.4576271186440678,0.751412429378531,1.8931177727225326,0.8046372637236682,1.8931177727225326,0.0219999928958714,5.285499995807186,,,,,,,,,
9,scene0707_00,Grid-RR,0ce0bacd78a95758,False,177,116,0.655367231638418,0.4632768361581921,0.7570621468926554,1.6109662482568943,0.7184313600335216,1.6109662482568943,0.16490000416524708,4.313100012950599,,,,,,,,,
9,scene0707_00,4D-ANMS,06967743ab796a03,False,177,111,0.6271186440677966,0.4576271186440678,0.7570621468926554,1.9049482502399093,1.4239788796687896,1.9049482502399093,2.384799998253584,4.87000000430271,,,,,,,,,
9,scene0707_00,Unconditional Spatial,bf9c66d74f7a173b,False,177,116,0.655367231638418,0.4632768361581921,0.7740112994350282,1.798866952456727,0.8477638621682317,1.798866952456727,0.1954999752342701,4.683700011810288,,,,,,,,,
9,scene0707_00,Single-View Conditional,52357d2bfc3ab859,True,177,117,0.6610169491525424,0.4632768361581921,0.7740112994350282,1.6329062880451564,0.7123982139188808,1.6329062880451564,0.17060001846402884,0.0,,,,,,,,,
9,scene0707_00,CSMR,bf9c66d74f7a173b,True,177,116,0.655367231638418,0.4632768361581921,0.7740112994350282,1.798866952456727,0.8477638621682317,1.798866952456727,0.2212999970652163,0.0,0.95,177,177,0.72362036518352,0.875,0.75,0.875,0.75,1
10,scene0707_00,All,9c1ec88c2d64827d,False,365,214,0.5863013698630137,0.17534246575342466,0.6438356164383562,0.8337542768162993,2.2557559811764087,2.2557559811764087,0.0,10.257700021611527,,,,,,,,,
10,scene0707_00,Top-95%,e6f237a36b667dd8,False,347,208,0.5994236311239193,0.1729106628242075,0.6455331412103746,0.9584914634510309,1.7078134465728194,1.7078134465728194,0.03220001235604286,8.443200000328943,,,,,,,,,
10,scene0707_00,Random-95%-seed17,b1e734eba19a0218,False,347,203,0.5850144092219021,0.17579250720461095,0.654178674351585,0.8008431586924655,2.1987483691008527,2.1987483691008527,0.06960000609979033,9.499100007815287,,,,,,,,,
10,scene0707_00,Random-95%-seed29,fefe06404f899bfe,False,347,203,0.5850144092219021,0.17579250720461095,0.6484149855907781,0.965990159661493,1.6761379971029162,1.6761379971029162,0.03660001675598323,9.324600017862394,,,,,,,,,
10,scene0707_00,Random-95%-seed41,db529929c8a0ee2b,False,347,202,0.5821325648414986,0.17579250720461095,0.6397694524495677,0.8437283294966986,2.215190342655795,2.215190342655795,0.029099988751113415,10.720199992647395,,,,,,,,,
10,scene0707_00,Grid-RR,4166a540de6b49a7,False,347,204,0.5878962536023055,0.1729106628242075,0.6397694524495677,0.8209121093501732,2.232195968267859,2.232195968267859,0.21180001203902066,10.443000006489456,,,,,,,,,
10,scene0707_00,4D-ANMS,897856d2d5b8120d,False,347,206,0.5936599423631124,0.18155619596541786,0.6397694524495677,0.8232557823289413,2.2291845531331203,2.2291845531331203,3.893100016284734,9.944300021743402,,,,,,,,,
10,scene0707_00,Unconditional Spatial,11ee2ab76c77eb90,False,347,201,0.579250720461095,0.17579250720461095,0.6455331412103746,1.3166119979812845,1.3662397924471543,1.3662397924471543,0.2466999867465347,9.023800026625395,,,,,,,,,
10,scene0707_00,Single-View Conditional,e6f237a36b667dd8,True,347,208,0.5994236311239193,0.1729106628242075,0.6455331412103746,0.9584914634510309,1.7078134465728194,1.7078134465728194,0.12549999519251287,0.0,,,,,,,,,
10,scene0707_00,CSMR,11ee2ab76c77eb90,True,347,201,0.579250720461095,0.17579250720461095,0.6455331412103746,1.3166119979812845,1.3662397924471543,1.3662397924471543,0.2809000143315643,0.0,0.95,347,347,0.5885712323123462,0.75,0.8125,0.75,0.8125,1
11,scene0707_00,All,9d45da101dafa23b,False,253,100,0.3952569169960474,0.05928853754940711,0.2015810276679842,1.8709567552643034,6.833450174199885,6.833450174199885,0.0,12.608699995325878,,,,,,,,,
11,scene0707_00,Top-95%,6d8b8c2eeb76772a,False,240,87,0.3625,0.058333333333333334,0.19166666666666668,4.574444490629468,9.351520811959778,9.351520811959778,0.029699993319809437,9.90450000972487,,,,,,,,,
11,scene0707_00,Random-95%-seed17,cbdef0169808d28f,False,240,91,0.37916666666666665,0.058333333333333334,0.2,0.6991090390956974,3.849219300942034,3.849219300942034,0.089899986051023,11.11339998897165,,,,,,,,,
